Material,Distance (m),Angle (°),Reflectivity (ρ),Distance Factor (1/r²),Angle Factor (cos α),Intensity
Matte_White,0.50,0,0.5400,4.000000,1.0000,225
Matte_White,0.50,30,0.5400,4.000000,0.8660,197
Matte_White,0.50,60,0.5400,4.000000,0.5000,117
Matte_White,1.00,0,0.5400,1.000000,1.0000,63
Matte_White,1.00,30,0.5400,1.000000,0.8660,56
Matte_White,1.00,60,0.5400,1.000000,0.5000,36
Matte_White,5.00,0,0.5400,0.040000,1.0000,12
Matte_White,5.00,30,0.5400,0.040000,0.8660,11
Matte_White,5.00,60,0.5400,0.040000,0.5000,11
Polished_Metal,0.50,0,1.1400,4.000000,1.0000,255
Polished_Metal,0.50,30,1.1400,4.000000,0.8660,255
Polished_Metal,0.50,60,1.1400,4.000000,0.5000,238
Polished_Metal,1.00,0,1.1400,1.000000,1.0000,124
Polished_Metal,1.00,30,1.1400,1.000000,0.8660,108
Polished_Metal,1.00,60,1.1400,1.000000,0.5000,67
Polished_Metal,5.00,0,1.1400,0.040000,1.0000,14
Polished_Metal,5.00,30,1.1400,0.040000,0.8660,13
Polished_Metal,5.00,60,1.1400,0.040000,0.5000,12
Matte_Black,0.50,0,0.0275,4.000000,1.0000,21
Matte_Black,0.50,30,0.0275,4.000000,0.8660,19
Matte_Black,0.50,60,0.0275,4.000000,0.5000,15
Matte_Black,1.00,0,0.0275,1.000000,1.0000,12
Matte_Black,1.00,30,0.0275,1.000000,0.8660,12
Matte_Black,1.00,60,0.0275,1.000000,0.5000,11
Matte_Black,5.00,0,0.0275,0.040000,1.0000,10
Matte_Black,5.00,30,0.0275,0.040000,0.8660,10
Matte_Black,5.00,60,0.0275,0.040000,0.5000,10
Glass_Like,0.50,0,0.7705,4.000000,1.0000,255
Glass_Like,0.50,30,0.7705,4.000000,0.8660,255
Glass_Like,0.50,60,0.7705,4.000000,0.5000,164
Glass_Like,1.00,0,0.7705,1.000000,1.0000,87
Glass_Like,1.00,30,0.7705,1.000000,0.8660,76
Glass_Like,1.00,60,0.7705,1.000000,0.5000,48
Glass_Like,5.00,0,0.7705,0.040000,1.0000,13
Glass_Like,5.00,30,0.7705,0.040000,0.8660,12
Glass_Like,5.00,60,0.7705,0.040000,0.5000,11
Red_Material,0.50,0,0.2325,4.000000,1.0000,103
Red_Material,0.50,30,0.2325,4.000000,0.8660,90
Red_Material,0.50,60,0.2325,4.000000,0.5000,56
Red_Material,1.00,0,0.2325,1.000000,1.0000,33
Red_Material,1.00,30,0.2325,1.000000,0.8660,30
Red_Material,1.00,60,0.2325,1.000000,0.5000,21
Red_Material,5.00,0,0.2325,0.040000,1.0000,10
Red_Material,5.00,30,0.2325,0.040000,0.8660,10
Red_Material,5.00,60,0.2325,0.040000,0.5000,10
